0,Q,0
1,Q,0
1,U,2
1,E,3
1,S,4
1,D,4
1,N,5
2,Q,0
2,S,5
3,Q,0
4,Q,0
4,E,5
4,W,5
4,U,5
4,S,7
4,D,7
5,Q,0
5,D,4
5,W,5
5,S,5
5,N,6
6,Q,0
6,E,4
6,W,4
6,D,4
6,S,5
7,Q,0
7,E,5
7,W,5
7,S,8
8,Q,0
8,W,5
8,S,5
8,N,7
9,Q,0
10,Q,0
10,W,11
11,Q,0
11,U,12
11,W,12
12,Q,0
12,E,11
12,U,13
12,W,13
13,Q,0
13,W,14
14,Q,0
14,D,15
14,W,16
15,Q,0
15,W,17
15,D,19
15,N,19
15,U,14
16,Q,0
17,Q,0
18,Q,0
19,Q,0
19,E,15
19,N,32
20,Q,0
21,Q,0
22,Q,0
23,Q,0
24,Q,0
25,Q,0
26,Q,0
27,Q,0
28,Q,0
28,D,36
29,Q,0
30,Q,0
30,W,62
30,U,62
31,Q,0
32,Q,0
33,Q,0
34,Q,0
34,U,15
35,Q,0
36,Q,0
36,U,28
36,W,39
37,Q,0
37,D,38
38,Q,0
39,Q,0
39,D,64
40,Q,0
41,Q,0
41,E,27
41,N,59
41,W,60
42,Q,0
42,N,42
42,E,43
42,S,45
42,W,80
43,Q,0
43,S,44
43,E,45
44,Q,0
44,D,48
44,S,50
44,N,82
45,Q,0
45,N,43
45,E,46
45,S,47
45,U,87
45,D,87
46,Q,0
47,Q,0
48,Q,0
49,Q,0
49,W,51
50,Q,0
50,W,49
50,D,51
50,S,52
51,Q,0
51,U,50
51,E,52
51,S,53
52,Q,0
52,E,51
52,S,52
52,U,53
52,N,55
52,D,86
53,Q,0
53,N,52
53,S,54
54,Q,0
55,Q,0
55,N,55
55,D,56
55,E,57
56,Q,0
57,Q,0
57,W,55
57,S,58
57,N,83
57,E,84
58,Q,0
59,Q,0
60,Q,0
60,W,61
60,N,62
60,D,62
61,Q,0
61,N,62
62,Q,0
62,N,63
62,E,30
62,S,61
63,Q,0
64,Q,0
64,W,65
64,N,103
64,E,106
65,Q,0
65,W,66
65,U,39
65,N,71
65,D,106
66,Q,0
66,W,67
66,E,96
67,Q,0
67,W,23
67,D,24
68,Q,0
68,U,69
68,N,65
69,Q,0
69,S,119
69,N,109
70,Q,0
70,D,65
70,S,111
71,Q,0
71,S,70
71,N,110
72,Q,0
72,N,73
72,SE,97
73,Q,0
74,Q,0
74,W,121
74,D,75
75,Q,0
75,N,77
76,Q,0
77,Q,0
77,W,78
77,N,66
78,Q,0
79,Q,0
80,Q,0
80,S,80
80,E,81
81,Q,0
82,Q,0
83,Q,0
83,E,84
83,W,85
84,Q,0
84,W,83
84,NW,114
85,Q,0
86,Q,0
87,Q,0
87,D,45
88,Q,0
88,E,25
88,W,92
89,Q,0
90,Q,0
91,Q,0
92,Q,0
92,N,94
93,Q,0
94,Q,0
95,Q,0
95,W,91
96,Q,0
97,Q,0
97,W,72
97,U,98
97,N,98
98,Q,0
98,W,99
99,Q,0
99,E,100
100,Q,0
100,NE,101
101,Q,0
102,Q,0
103,Q,0
103,D,104
103,S,64
104,Q,0
104,D,105
105,Q,0
106,Q,0
106,W,65
106,E,108
107,Q,0
107,SW,132
107,NE,133
107,SE,134
107,U,135
107,NW,136
107,E,137
107,W,138
107,N,139
107,D,61
108,Q,0
109,Q,0
109,N,113
110,Q,0
111,Q,0
111,D,45
112,Q,0
112,N,132
112,E,133
112,NW,134
112,SE,135
112,NE,136
112,W,137
112,D,138
112,U,139
112,S,140
113,Q,0
114,Q,0
115,Q,0
116,Q,0
117,Q,0
118,Q,0
118,U,117
119,Q,0
120,Q,0
120,E,74
121,Q,0
122,Q,0
123,Q,0
123,E,124
124,Q,0
124,NE,125
124,SE,128
124,D,128
125,Q,0
125,N,126
125,E,127
126,Q,0
127,Q,0
128,Q,0
128,U,124
128,S,129
128,D,129
129,Q,0
129,U,128
129,E,130
130,Q,0
131,Q,0
131,SE,132
131,NW,133
131,SW,134
131,NE,135
131,U,136
131,D,137
131,N,138
131,S,139
131,E,112
132,Q,0
132,U,131
132,N,133
132,S,134
132,W,135
132,SW,136
132,NE,137
132,E,138
132,D,139
132,SE,112
133,Q,0
133,D,131
133,W,132
133,NE,134
133,SW,135
133,E,136
133,N,137
133,NW,138
133,SE,139
133,S,112
134,Q,0
134,N,131
134,NW,132
134,SE,133
134,E,135
134,D,136
134,S,137
134,U,138
134,W,139
134,SW,112
135,Q,0
135,SE,131
135,D,132
135,S,133
135,E,134
135,W,136
135,SW,137
135,NE,138
135,NW,139
135,U,112
136,Q,0
136,W,131
136,U,132
136,SW,133
136,D,134
136,S,135
136,NW,137
136,SE,138
136,NE,139
136,N,112
137,Q,0
137,NE,131
137,S,132
137,D,133
137,U,134
137,NW,135
137,N,136
137,SW,138
137,E,139
137,W,112
138,Q,0
138,E,131
138,NE,132
138,U,133
138,W,134
138,N,135
138,S,136
138,SE,137
138,SW,139
138,NW,112
139,Q,0
139,NW,131
139,E,132
139,W,133
139,N,134
139,D,135
139,SE,136
139,U,137
139,S,138
139,NE,112
140,Q,0
